Wavelength,f
480.5581395, 71720.091406707143 
301.6642336,316.7539307
295.2,119.0168415
285.0206897, 3409.469694072753 
280.5067873,298.2447718
277.3691275,386.5436976
245.5128713, 5351.546851974846 
237.0630975,448.1734427
225.4254545,82.05143016
216.3769634, 3306.693407429539 
210.1423729,924.4946618
208.0268456, 5584.026707869423 
206.296173,805.5225741
203.9210526, 21421.652307798475 
202.2577488, 3202.012919530004 
200.6213592,611.5930549
200.2972536,576.1213965
194.028169,811.8106036
191.6290572, 10426.543213747780 
189.2885496,366.0564751
