Wavelength,f
541.41, 86613.480290739099 
313.09,37.94735255
309.19,751.8171689
301.66,948.5455622
287.67, 2114.523849017554 
283.07,341.5015139
252.51, 2531.924546232151 
246.00, 2794.185761850429 
235.71, 3532.780856290551 
234.37,245.5756209
219.05, 2429.477668923903 
217.52,142.7888276
208.73, 13162.226136068564 
208.38, 1288.959121047493 
206.30, 5361.445753200719 
205.61, 2798.065127315231 
202.92, 2326.778804239417 
200.30, 3442.998684233965 
198.37, 2387.629650543341 
197.74, 5705.671159325730 
