Wavelength,Absorbance
658,0.0451
659,0.0448
660,0.0443
661,0.044
662,0.0437
663,0.0435
664,0.0432
665,0.0429
666,0.0428
667,0.0427
668,0.0426
669,0.0424
670,0.0422
671,0.0422
672,0.0421
673,0.0419
674,0.0418
675,0.0417
676,0.0417
677,0.0416
678,0.0415
679,0.0415
680,0.0415
681,0.0416
682,0.0414
683,0.0414
684,0.0413
685,0.0413
686,0.0413
687,0.0411
688,0.0411
689,0.0411
690,0.0409
691,0.041
692,0.041
693,0.041
694,0.0411
695,0.0411
696,0.0411
697,0.0412
698,0.0412
699,0.0412
700,0.0412
701,0.0413
702,0.0413
703,0.0414
704,0.0413
705,0.0412
706,0.0413
707,0.0412
708,0.0413
709,0.0414
710,0.0414
711,0.0414
712,0.0413
713,0.0413
714,0.0413
715,0.0413
716,0.0414
717,0.0413
718,0.0414
719,0.0415
720,0.0416
721,0.0417
722,0.0418
723,0.0419
724,0.042
725,0.0419
726,0.0421
727,0.0424
728,0.0425
729,0.0428
730,0.043
731,0.0432
732,0.0434
733,0.0436
734,0.0439
735,0.0444
736,0.0446
737,0.0449
738,0.0452
739,0.0455
740,0.0458
741,0.046
742,0.0462
743,0.0464
744,0.0465
745,0.0466
746,0.0469
747,0.047
748,0.0471
749,0.0474
750,0.0473
751,0.0474
752,0.0475
753,0.0475
754,0.0475
755,0.0475
756,0.0475
757,0.0474
758,0.0475
759,0.0473
760,0.0473
761,0.0471
762,0.047
763,0.0469
764,0.0467
765,0.0464
766,0.0461
767,0.0459
768,0.0456
769,0.0453
770,0.0453
771,0.0452
772,0.045
773,0.0448
774,0.0447
775,0.0447
776,0.0447
777,0.0447
778,0.0448
779,0.0448
780,0.0449
781,0.045
782,0.045
783,0.0451
784,0.0451
785,0.0451
786,0.0452
787,0.0452
788,0.0452
789,0.0453
790,0.0453
791,0.0453
792,0.0454
793,0.0453
794,0.0454
795,0.0454
796,0.0454
797,0.0456
798,0.0455
799,0.0455
800,0.0456
